# 过滤后保留的可回测指数（共 727 个：行业 212 + 主题 515）
# 过滤规则: 6条(见 spec §2.2)，规则3含 name 币种过滤
# 格式: ts_code | name | category | list_date

    931005.CSI  |  母婴消费  |  主题指数  |  20170721
    931265.CSI  |  民企300  |  主题指数  |  20191115
    931473.CSI  |  民企50  |  主题指数  |  20231109
    932421.CSI  |  民企ESG50  |  主题指数  |  20250402
    931356.CSI  |  民企创新  |  主题指数  |  20191115
    931266.CSI  |  民企贡献  |  主题指数  |  20191115
    931267.CSI  |  民企领先  |  主题指数  |  20191115
    932048.CSI  |  民企高端装备  |  主题指数  |  20240320
    930766.CSI  |  民企高装主题  |  主题指数  |  20151029
    931170.CSI  |  民企龙头  |  主题指数  |  20190425
    930854.CSI  |  水环境  |  主题指数  |  20160720
    931777.CSI  |  江苏高质量发展  |  主题指数  |  20211202
    931945.CSI  |  汽车半导  |  主题指数  |  20220901
    931008.CSI  |  汽车指数  |  主题指数  |  20130715
    931252.CSI  |  汽车电子产业  |  主题指数  |  20220107
    931230.CSI  |  汽车零部件  |  主题指数  |  20130715
    950222.CSI  |  沪专精特新  |  主题指数  |  20250721
    H50016.CSI  |  沪东北  |  主题指数  |  20120927
    H50014.CSI  |  沪中部  |  主题指数  |  20120927
    950073.CSI  |  沪互联网  |  主题指数  |  20150529
    950074.CSI  |  沪互金融  |  主题指数  |  20150529
    950097.CSI  |  沪供给侧  |  主题指数  |  20160624
    H50017.CSI  |  沪信息业  |  主题指数  |  20121220
    H50032.CSI  |  沪城交通  |  主题指数  |  20130826
    H50034.CSI  |  沪城基建  |  主题指数  |  20130826
    H50033.CSI  |  沪城消费  |  主题指数  |  20130826
    H50055.CSI  |  沪大农业  |  主题指数  |  20140722
    950189.CSI  |  沪新基建  |  主题指数  |  20200707
    H50035.CSI  |  沪智交通  |  主题指数  |  20130826
    H50056.CSI  |  沪智家居  |  主题指数  |  20140917
    H50038.CSI  |  沪智慧城  |  主题指数  |  20130826
    950101.CSI  |  沪智能造  |  主题指数  |  20160720
    950085.CSI  |  沪物联网  |  主题指数  |  20151029
    H50011.CSI  |  沪环渤海  |  主题指数  |  20120927
