# 被过滤掉的主题/行业指数变体（共 2689 个）
# 全收益/币种/规模口径/企业属性/港股/三板/策略变体，回测会污染对比

    H00063.CSI  |  上证周期全收益  |  主题指数
    H00066.CSI  |  上证商品全收益  |  主题指数
    H00056.CSI  |  上证国企全收益  |  主题指数
    H00055.CSI  |  上证地企全收益  |  主题指数
    H50037.CSI  |  上证城镇  |  主题指数
    H40037.CSI  |  上证城镇全收益  |  主题指数
    H40071.CSI  |  上证基建全收益  |  主题指数
950239CNY01.CSI  |  上证太阳能全收益  |  主题指数
    H00042.CSI  |  上证央收  |  主题指数
    H40018.CSI  |  上证文化全收益  |  主题指数
    H00067.CSI  |  上证新兴全收益  |  主题指数
950220CNY01.CSI  |  上证新能源全收益  |  主题指数
950194CNY01.CSI  |  上证新能源车全收益  |  主题指数
    H40070.CSI  |  上证汽车全收益  |  主题指数
    H00062.CSI  |  上证沪企全收益  |  主题指数
    H00054.CSI  |  上证海外全收益  |  主题指数
    H40087.CSI  |  上证海洋全收益  |  主题指数
    H40079.CSI  |  上证混改全收益  |  主题指数
    H00158.CSI  |  上证环保全收益  |  主题指数
    H40089.CSI  |  上证电子全收益  |  主题指数
    H40053.CSI  |  上证移动全收益  |  主题指数
    H00068.CSI  |  上证资源全收益  |  主题指数
    H00038.CSI  |  上证金收  |  主题指数
    H00134.CSI  |  上证银行全收益  |  主题指数
    950083.CSI  |  上证长三角  |  主题指数
    940083.CSI  |  上证长三角全收益  |  主题指数
    H00131.CSI  |  上证高新全收益  |  主题指数
    H00065.CSI  |  上证龙头全收益  |  主题指数
932357CNY010.CSI  |  专精特新100全收益  |  主题指数
    H20981.CSI  |  东北指数全收益  |  主题指数
    H20006.CSI  |  东北振兴全收益  |  主题指数
932595CNY210.CSI  |  东盟数字经济(全)  |  主题指数
932595USD210.CSI  |  东盟数字经济(全)USD  |  主题指数
932595USD200.CSI  |  东盟数字经济USD  |  主题指数
H11136EUR14.CSI  |  中国互联网(全)EUR(CNH)(LN)  |  主题指数
H11136GBP14.CSI  |  中国互联网(全)GBP(CNH)(LN)  |  主题指数
    H21120.CSI  |  中国互联网1040(全)  |  主题指数
    H21122.CSI  |  中国互联网1040(全)EUR  |  主题指数
    H21121.CSI  |  中国互联网1040(全)USD  |  主题指数
    931121.CSI  |  中国互联网1040USD  |  主题指数
    H20604.CSI  |  中国互联网30(全)  |  主题指数
    H20605.CSI  |  中国互联网30(全)USD  |  主题指数
    930605.CSI  |  中国互联网30USD  |  主题指数
